id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist
1DZ5alireHmDdsOYnwgrlG,Niv,0.657,0.433,0,-14.208,1,0.043,0.0619,0.847,0.333,0.0376,98.013,audio_features,spotify:track:1DZ5alireHmDdsOYnwgrlG,https://api.spotify.com/v1/tracks/1DZ5alireHmDdsOYnwgrlG,https://api.spotify.com/v1/audio-analysis/1DZ5alireHmDdsOYnwgrlG,408801,4,Geju
2UfYix7uG6hWIj05pGnw6R,Ountera - Geju Remix,0.822,0.532,1,-11.912,1,0.0438,0.498,0.916,0.107,0.143,113.006,audio_features,spotify:track:2UfYix7uG6hWIj05pGnw6R,https://api.spotify.com/v1/tracks/2UfYix7uG6hWIj05pGnw6R,https://api.spotify.com/v1/audio-analysis/2UfYix7uG6hWIj05pGnw6R,348948,4,Geju
5JDmXw3abS5KArNegxRGsb,Farfalle su vacanza,0.79,0.439,2,-10.892,1,0.0533,0.0895,0.901,0.109,0.453,102.005,audio_features,spotify:track:5JDmXw3abS5KArNegxRGsb,https://api.spotify.com/v1/tracks/5JDmXw3abS5KArNegxRGsb,https://api.spotify.com/v1/audio-analysis/5JDmXw3abS5KArNegxRGsb,480000,4,Geju
2Frwc5RAPiU7L4fR0Jdw20,Heinz,0.873,0.661,11,-14.391,0,0.149,0.378,0.839,0.0998,0.147,106.99,audio_features,spotify:track:2Frwc5RAPiU7L4fR0Jdw20,https://api.spotify.com/v1/tracks/2Frwc5RAPiU7L4fR0Jdw20,https://api.spotify.com/v1/audio-analysis/2Frwc5RAPiU7L4fR0Jdw20,394738,4,Geju
7DlIf50uAWVSsf6X8nZ9L8,Fuji,0.784,0.339,7,-15.744,1,0.0408,0.0468,0.892,0.0983,0.124,101.993,audio_features,spotify:track:7DlIf50uAWVSsf6X8nZ9L8,https://api.spotify.com/v1/tracks/7DlIf50uAWVSsf6X8nZ9L8,https://api.spotify.com/v1/audio-analysis/7DlIf50uAWVSsf6X8nZ9L8,417588,4,Geju
0MdMKcsIlD7udY0Q3f5oPF,Easy Tiger,0.729,0.523,7,-10.099,0,0.073,0.719,0.928,0.176,0.0362,97.004,audio_features,spotify:track:0MdMKcsIlD7udY0Q3f5oPF,https://api.spotify.com/v1/tracks/0MdMKcsIlD7udY0Q3f5oPF,https://api.spotify.com/v1/audio-analysis/0MdMKcsIlD7udY0Q3f5oPF,411959,4,Geju
416oYM4vj129L8BP7B0qlO,Uwi,0.81,0.612,4,-8.4,0,0.231,0.362,0.854,0.107,0.277,75.009,audio_features,spotify:track:416oYM4vj129L8BP7B0qlO,https://api.spotify.com/v1/tracks/416oYM4vj129L8BP7B0qlO,https://api.spotify.com/v1/audio-analysis/416oYM4vj129L8BP7B0qlO,425600,4,Geju
699YbNimhw3J2PE7nza35V,Fusilia (Life Affirming),0.804,0.434,10,-14.092,1,0.0866,0.259,0.911,0.0959,0.0537,113.981,audio_features,spotify:track:699YbNimhw3J2PE7nza35V,https://api.spotify.com/v1/tracks/699YbNimhw3J2PE7nza35V,https://api.spotify.com/v1/audio-analysis/699YbNimhw3J2PE7nza35V,383291,4,Geju
60MNNOjROkG0rErIWsFmPT,Out Tal,0.685,0.487,2,-13.662,1,0.0694,0.178,0.88,0.103,0.394,194.0,audio_features,spotify:track:60MNNOjROkG0rErIWsFmPT,https://api.spotify.com/v1/tracks/60MNNOjROkG0rErIWsFmPT,https://api.spotify.com/v1/audio-analysis/60MNNOjROkG0rErIWsFmPT,400687,4,Geju
4bgZRlYMLwgznIBwbntZ6h,Venesuelo,0.772,0.46,7,-11.656,1,0.0491,0.115,0.85,0.103,0.247,95.0,audio_features,spotify:track:4bgZRlYMLwgznIBwbntZ6h,https://api.spotify.com/v1/tracks/4bgZRlYMLwgznIBwbntZ6h,https://api.spotify.com/v1/audio-analysis/4bgZRlYMLwgznIBwbntZ6h,425684,4,Geju
