id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist
2p5Hto8KF3EBez3XtO3NFM,Moonlight Purpose,0.761,0.473,1,-13.048,1,0.0539,0.0431,0.871,0.0871,0.43,135.0,audio_features,spotify:track:2p5Hto8KF3EBez3XtO3NFM,https://api.spotify.com/v1/tracks/2p5Hto8KF3EBez3XtO3NFM,https://api.spotify.com/v1/audio-analysis/2p5Hto8KF3EBez3XtO3NFM,510679,4,Merkaba
4cHcxM9DUgScrMAaF6scbW,Earth,0.845,0.872,7,-7.814,1,0.0939,0.0299,0.105,0.0545,0.154,134.005,audio_features,spotify:track:4cHcxM9DUgScrMAaF6scbW,https://api.spotify.com/v1/tracks/4cHcxM9DUgScrMAaF6scbW,https://api.spotify.com/v1/audio-analysis/4cHcxM9DUgScrMAaF6scbW,821168,4,Merkaba
5QMq0W3afpX87NMZ4JskwL,Solar Ohm,0.741,0.668,8,-11.142,0,0.0415,0.0758,0.746,0.145,0.0391,132.982,audio_features,spotify:track:5QMq0W3afpX87NMZ4JskwL,https://api.spotify.com/v1/tracks/5QMq0W3afpX87NMZ4JskwL,https://api.spotify.com/v1/audio-analysis/5QMq0W3afpX87NMZ4JskwL,687607,4,Merkaba
2MMrdTYyKY0T0iKHlPXjmq,Deep Waters,0.788,0.551,9,-11.851,1,0.0747,0.0273,0.799,0.161,0.252,133.987,audio_features,spotify:track:2MMrdTYyKY0T0iKHlPXjmq,https://api.spotify.com/v1/tracks/2MMrdTYyKY0T0iKHlPXjmq,https://api.spotify.com/v1/audio-analysis/2MMrdTYyKY0T0iKHlPXjmq,554210,4,Merkaba
7hXkwQtnL3h9Qn9LvnqE2c,hooked on jungle,0.747,0.508,2,-9.971,1,0.0571,0.0153,0.727,0.0742,0.486,137.988,audio_features,spotify:track:7hXkwQtnL3h9Qn9LvnqE2c,https://api.spotify.com/v1/tracks/7hXkwQtnL3h9Qn9LvnqE2c,https://api.spotify.com/v1/audio-analysis/7hXkwQtnL3h9Qn9LvnqE2c,671304,4,Merkaba
5OBfu9u6C87GrM2H6FKEwp,Ancients Calling,0.753,0.701,2,-8.47,1,0.0444,0.00467,0.837,0.0805,0.0533,134.019,audio_features,spotify:track:5OBfu9u6C87GrM2H6FKEwp,https://api.spotify.com/v1/tracks/5OBfu9u6C87GrM2H6FKEwp,https://api.spotify.com/v1/audio-analysis/5OBfu9u6C87GrM2H6FKEwp,619702,4,Merkaba
4k32TnRDGTs0BCINBclQsS,The Link,0.759,0.646,10,-11.335,0,0.053,0.0171,0.591,0.0848,0.119,133.022,audio_features,spotify:track:4k32TnRDGTs0BCINBclQsS,https://api.spotify.com/v1/tracks/4k32TnRDGTs0BCINBclQsS,https://api.spotify.com/v1/audio-analysis/4k32TnRDGTs0BCINBclQsS,557186,4,Merkaba
58KTMTk8qFvuh1rKXiMiyJ,Solar Ohm - Kalya Scintilla Remix,0.74,0.526,1,-12.555,1,0.0459,0.0371,0.51,0.164,0.0677,99.999,audio_features,spotify:track:58KTMTk8qFvuh1rKXiMiyJ,https://api.spotify.com/v1/tracks/58KTMTk8qFvuh1rKXiMiyJ,https://api.spotify.com/v1/audio-analysis/58KTMTk8qFvuh1rKXiMiyJ,367720,4,Merkaba
3cIJ1NldiNPDdJ0TAkQ9Wr,Neverendings,0.772,0.817,11,-8.212,0,0.043,0.0599,0.782,0.102,0.143,138.02,audio_features,spotify:track:3cIJ1NldiNPDdJ0TAkQ9Wr,https://api.spotify.com/v1/tracks/3cIJ1NldiNPDdJ0TAkQ9Wr,https://api.spotify.com/v1/audio-analysis/3cIJ1NldiNPDdJ0TAkQ9Wr,588503,4,Merkaba
1gs9e8vmIRC01Tv3ZDJKXo,The Oneness,0.818,0.611,10,-7.389,0,0.0459,0.0798,0.753,0.108,0.163,134.001,audio_features,spotify:track:1gs9e8vmIRC01Tv3ZDJKXo,https://api.spotify.com/v1/tracks/1gs9e8vmIRC01Tv3ZDJKXo,https://api.spotify.com/v1/audio-analysis/1gs9e8vmIRC01Tv3ZDJKXo,682388,4,Merkaba
